	gene_symbol
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3
ANKIB1	ANKIB1
ANKLE2	ANKLE2
ANKMY1	ANKMY1
ANKMY2	ANKMY2
ANKRA2	ANKRA2
ANKRD10	ANKRD10
ANKRD11	ANKRD11
ANKRD12	ANKRD12
ANKRD13A	ANKRD13A
ANKRD13C	ANKRD13C
ANKRD13D	ANKRD13D
ANKRD16	ANKRD16
ANKRD17	ANKRD17
ANKRD18A	ANKRD18A
ANKRD18B	ANKRD18B
ANKRD23	ANKRD23
ANKRD26	ANKRD26
ANKRD27	ANKRD27
ANKRD28	ANKRD28
ANKRD31	ANKRD31
ANKRD35	ANKRD35
ANKRD36	ANKRD36
ANKRD36B	ANKRD36B
ANKRD36C	ANKRD36C
ANKRD37	ANKRD37
ANKRD40	ANKRD40
ANKRD42	ANKRD42
ANKRD44	ANKRD44
ANKRD46	ANKRD46
ANKRD49	ANKRD49
ANKRD50	ANKRD50
ANKRD52	ANKRD52
ANKRD54	ANKRD54
ANKRD55	ANKRD55
ANKRD6	ANKRD6
ANKS1A	ANKS1A
ANKS3	ANKS3
ANKUB1	ANKUB1
ANKZF1	ANKZF1
ANO10	ANO10
ANO6	ANO6
ANO9	ANO9
ANP32A	ANP32A
ANP32B	ANP32B
ANP32E	ANP32E
ANPEP	ANPEP
ANTXR2	ANTXR2
ANXA1	ANXA1
ANXA11	ANXA11
ANXA2	ANXA2
ANXA4	ANXA4
ANXA5	ANXA5
ANXA6	ANXA6
ANXA7	ANXA7
AOAH	AOAH
AP1AR	AP1AR
AP1B1	AP1B1
AP1G1	AP1G1
AP1G2	AP1G2
AP1M1	AP1M1
AP1S1	AP1S1
AP1S2	AP1S2
AP1S3	AP1S3
AP2A1	AP2A1
AP2A2	AP2A2
AP2B1	AP2B1
AP2M1	AP2M1
AP2S1	AP2S1
AP3B1	AP3B1
AP3D1	AP3D1
AP3M1	AP3M1
AP3M2	AP3M2
AP3S1	AP3S1
AP3S2	AP3S2
AP4B1	AP4B1
AP4E1	AP4E1
AP4M1	AP4M1
AP4S1	AP4S1
AP5B1	AP5B1
AP5M1	AP5M1
AP5Z1	AP5Z1
APAF1	APAF1
APBA2	APBA2
APBA3	APBA3
APBB1	APBB1
APBB1IP	APBB1IP
APBB3	APBB3
APC	APC
APEH	APEH
APEX1	APEX1
APEX2	APEX2
APH1A	APH1A
APH1B	APH1B
API5	API5
APIP	APIP
APLF	APLF
APLP2	APLP2
APMAP	APMAP
APOBEC2	APOBEC2
APOBEC3A	APOBEC3A
APOBEC3C	APOBEC3C
APOBEC3F	APOBEC3F
APOBEC3G	APOBEC3G
APOBEC3H	APOBEC3H
APOBR	APOBR
APOL1	APOL1
APOL2	APOL2
APOL3	APOL3
APOL6	APOL6
APOLD1	APOLD1
APOM	APOM
APOO	APOO
APOOL	APOOL
APP	APP
APPBP2	APPBP2
APPL1	APPL1
APPL2	APPL2
APRT	APRT
APTR	APTR
APTX	APTX
AQP11	AQP11
AQP3	AQP3
AQP9	AQP9
AQR	AQR
ARAF	ARAF
ARAP1	ARAP1
ARAP2	ARAP2
ARAP3	ARAP3
ARCN1	ARCN1
AREG	AREG
AREL1	AREL1
ARF1	ARF1
ARF4	ARF4
ARF5	ARF5
ARF6	ARF6
ARFGAP1	ARFGAP1
ARFGAP2	ARFGAP2
ARFGAP3	ARFGAP3
ARFGEF1	ARFGEF1
ARFGEF2	ARFGEF2
ARFIP1	ARFIP1
ARFIP2	ARFIP2
ARFRP1	ARFRP1
ARG2	ARG2
ARGLU1	ARGLU1
ARHGAP1	ARHGAP1
ARHGAP10	ARHGAP10
ARHGAP11A	ARHGAP11A
ARHGAP12	ARHGAP12
ARHGAP15	ARHGAP15
ARHGAP17	ARHGAP17
ARHGAP18	ARHGAP18
ARHGAP19-SLIT1	ARHGAP19-SLIT1
ARHGAP21	ARHGAP21
ARHGAP22	ARHGAP22
ARHGAP24	ARHGAP24
ARHGAP25	ARHGAP25
ARHGAP26	ARHGAP26
ARHGAP27	ARHGAP27
ARHGAP29	ARHGAP29
ARHGAP30	ARHGAP30
ARHGAP31	ARHGAP31
ARHGAP32	ARHGAP32
ARHGAP33	ARHGAP33
ARHGAP35	ARHGAP35
ARHGAP4	ARHGAP4
ARHGAP45	ARHGAP45
ARHGAP5	ARHGAP5
ARHGAP6	ARHGAP6
ARHGAP9	ARHGAP9
ARHGDIA	ARHGDIA
ARHGDIB	ARHGDIB
ARHGEF1	ARHGEF1
ARHGEF10L	ARHGEF10L
ARHGEF11	ARHGEF11
ARHGEF12	ARHGEF12
ARHGEF19	ARHGEF19
ARHGEF2	ARHGEF2
ARHGEF26	ARHGEF26
ARHGEF3	ARHGEF3
