	1	2	3	4	5	6	7	8	9	10
ABHD12B	3.676202890300102e-05	4.2184685413930576e-05	2.9262879048985995e-06	-2.600432084305961e-05	-6.692621788670015e-05	-0.0001519015701429	2.0997721143105987e-05	-6.416502314121988e-05	-4.0960690325850697e-05	-9.527642941257738e-05
ABHD13	0.0001215504334337	-3.983832317261389e-05	5.725028116205046e-05	2.8660154021509844e-05	0.0002204796555381	-0.0006595686476212	-9.331611531743828e-05	0.0001195802802663	-3.1953514779903347e-05	-0.0001632852929976
ABHD14A	4.666349102857578e-05	-0.0001930299187032	-0.0002241099670427	-0.000169112635284	9.562435674780577e-05	0.0011535514606738	-0.000177896531133	-0.0004373585800071	-0.0001082335639169	0.0007375450591018
ABHD14B	-1.5547763997444073e-05	-8.183765385354422e-05	-0.0002232538580014	-0.0001559517849107	9.875626413029854e-05	0.0009395164416999	-0.0001111533941468	-0.0001619632218086	-3.023309373550442e-05	-0.0004172016430992
ABHD15	-0.0001544891497236	6.378198735132776e-05	0.0001955925383225	7.784845318225349e-05	-0.0002006805038009	0.0001911355706001	-4.141718584729007e-05	-0.0001006133610541	6.567557581760446e-05	0.0002679523792877
ABHD16A	2.5655151255936088e-05	-0.0001227771812224	0.0001703610759159	-4.736370707025587e-05	-7.590381834864908e-05	9.77496812407014e-05	-4.662454169211398e-05	0.0003959537236782	-0.0001848384228149	-0.0006508557272776
ABHD16B	-7.903859787706609e-06	3.330231451412862e-05	-0.0001141558285797	5.1890004544644696e-05	-1.2393571862924917e-05	0.0001055321745263	-3.098730631428316e-05	-4.0045899763856685e-07	-2.694504098032278e-05	-4.3835076174236416e-05
ABHD17A	0.0001569138429944	-0.0009034062824233	-0.0003022291800695	-3.638777151638781e-05	-0.0004428184456059	0.0043950742233913	-0.0008379336718333	-0.0012736944495227	-0.0009211523387574	0.0002157574924886
ABHD17B	-0.0001363707668107	-0.0003032567700273	0.0009305363803416	0.0008382542244035	-0.0005157186198461	-0.0006258978864624	0.0001280127867214	-0.0007904650308289	-0.0002105973062971	-0.0003772927553624
ABHD17C	3.720389273205424e-05	-3.8897840309326846e-05	0.0002003244636395	-9.414752714615796e-05	0.0002547380122231	-0.0005229668773204	3.279872252229279e-05	-7.621199534753277e-06	-4.3536486208417926e-05	-0.0001697633693911
ABHD18	0.0002139889421135	0.0002543197784656	-0.0001730943899683	0.0003309764577677	-1.1555873788848762e-05	-0.0015882897862094	4.44822623621493e-05	-0.0005139434921121	0.0001380877858119	-0.0001456515810622
ABHD2	-5.942864278510546e-05	0.0002792616179194	0.0011072302351432	7.850208128749003e-05	-0.0004097058351653	-0.0021611448504567	0.000531743268165	-0.0004049410785272	-0.0005200091037643	0.0005181890325943
ABHD3	0.0001244907397273	-1.5475013536524562e-05	0.0004362662558718	0.0002526127080887	0.0001171991871137	-0.0017228943470053	-1.1245313549743568e-05	1.4488225217022589e-05	0.0001359099646653	8.061379494300318e-06
ABHD4	1.9139788787462235e-05	2.852559288646392e-05	9.575146552540413e-05	-7.19366796446488e-06	-6.603723832666068e-05	-9.1511720761323e-05	-4.256693982989431e-05	-8.783522591643258e-05	-0.0001390473608715	-0.0003338787792656
ABHD5	-5.393494380559626e-05	-4.411899055910492e-05	0.0005799292188479	-8.801275056869475e-06	-9.130628637010224e-05	-0.0006627672509791	-0.0001208656158111	0.0008596730297762	-6.81246623169819e-05	-1.7328449914623634e-05
ABHD6	0.0001416336731905	-2.167845673000568e-05	-4.240240598903397e-06	-8.61140099222092e-05	0.0002791564758761	-0.0004892472858493	-0.0001176925082384	-6.778450099105601e-05	-0.0001461089886112	-8.891680200581503e-05
ABHD8	7.297015598106961e-05	2.677805898850032e-05	-0.0001406622809481	-2.908940445127081e-05	-0.0002050397161933	0.0002856148797506	-5.199207262444512e-05	-0.0002007560170728	0.0001820882036292	-0.0003594899170069
ABI1	0.0004406900976363	-0.0001055548205657	0.0006565908730391	0.0002605868804606	0.0001044271516357	-0.0031614872672051	-0.0001241654125644	0.0010543466614518	-0.0002304148370839	0.0001680904752164
ABI2	0.0001015161777151	0.0002780184335008	-0.0001307290608353	2.6306430206598144e-05	0.0002936120901959	-0.0015084868323449	0.0002076781060929	-0.0001287785864733	-4.723089029490302e-05	5.632916275942264e-05
ABI3	0.0004913143838916	-0.0005357079173231	-0.0006299833389342	6.966596757167822e-05	2.898005121653791e-05	0.0013768015229815	-0.0004889369393243	-0.0007925384941574	-0.0004996633230074	-0.0001176415311027
ABI3BP	1.2404989822757554e-05	4.276858832135328e-05	8.80300674552637e-05	-8.285757491725425e-06	3.222583326489401e-05	-0.0004050605677595	5.680538501376838e-06	-7.634956589920189e-05	5.410165213461469e-05	0.0013967379245968
ABL1	2.70314825397019e-05	0.0001689612878936	0.0010402497780007	0.0001131349001942	-0.0004347837908446	-0.0016594498667449	7.0726671235233845e-06	-0.0005795020466368	8.586766075362138e-05	-1.835990858534921e-05
ABL2	0.0001098543123959	0.000226633708096	0.0001152186550067	1.749376733862993e-05	0.0001696549229676	-0.0014672832874829	0.0001533309782402	-0.000221630697868	-3.532185919358548e-05	0.0006334357775774
ABLIM1	-0.0007202136635017	0.0006729880415588	0.0013435759679245	-5.891474147288924e-06	-0.0006635967699039	-0.0014328919042889	0.0006319916749373	0.0009823084836875	2.935239232294928e-05	-0.0002406988446482
ABLIM2	1.7348274352947086e-05	0.0001596245034796	-6.620773114090894e-05	-0.0001351049411592	0.0001437406756249	-0.0002282351445042	-6.857224520303632e-05	4.388288476479252e-05	-7.793801264263695e-05	-0.0002137258656878
ABLIM3	-3.1560025898942376e-06	-1.1581821246682126e-05	1.8946632637352848e-05	4.099562020857977e-05	-4.916360029188741e-05	-0.0001177014598743	4.787880359465237e-05	-0.0001362281399412	1.0116077857725064e-05	0.0014964376765294
ABO	-6.762598762270212e-05	-1.5131962865699423e-05	1.700415188333903e-05	9.774321412399264e-06	0.0001669673174934	-0.0001881487438782	-3.3455417231762544e-05	1.716494575323071e-05	0.0006329282185971	0.0006939207640465
ABR	0.0004813999458196	-0.0001149749274222	0.0002181543162527	-0.0001222406169997	0.0001859948375952	-0.0018768981765613	6.315985533789816e-05	-0.0005210911548994	9.624812366975772e-05	-0.0001088526363789
ABRA	4.375528232989401e-05	6.795169522321262e-05	3.549392971655656e-05	-3.235062014460028e-05	-1.3373813591694607e-05	-0.0003353737436661	8.01122216665877e-05	-0.0002794587938022	-1.0684287154669744e-06	-0.000123453777104
ABRACL	3.9264280669635e-05	-0.0004513271094319	-0.0007617011157255	0.0003742210515173	-0.0004065296304544	0.0028652153474918	-0.0002626241833154	-0.0006968132298505	1.4792859487177143e-06	-0.0005141030363273
ABT1	-0.0001151680220879	-7.35296130372728e-05	-0.0001686007497349	-0.0001036410119281	-8.366747609805917e-05	0.0013716046341841	-0.00013800409496	-6.120428013093733e-05	-0.000148898050361	0.0004851981263198
ABTB1	-0.0001888816447351	8.054531123844681e-05	-1.0659804296488149e-05	-3.6354654404924135e-05	-5.536409017152598e-05	0.0006426232185226	-8.074502345925502e-05	-0.0001273945444428	-6.237633946562012e-05	0.0002919857722072
ABTB2	-9.245786079677308e-06	-0.0002866421884223	0.000742312781324	-1.4572444631315851e-05	0.0001809877234426	-0.0010436274420027	0.0001833746064426	0.0002112879062211	0.0001945420756741	0.0001207915318288
ACAA1	-2.2730277075925037e-05	-0.0002239297393316	-9.581845221429244e-05	7.40550874486133e-07	-6.095777063527592e-05	0.0009310102040784	3.626619641780376e-06	-8.46561974068075e-05	-4.209609038318703e-05	0.0001603144422736
ACAA2	6.383971466071602e-05	-0.000192594354418	-0.0004248548055489	0.0003411622094075	-0.0002544215782324	0.001256950710064	-0.0002563496797655	-7.97607443167371e-05	-0.000311078960234	-0.0002182693465141
ACACA	0.0001412922130964	6.28638566786684e-05	3.780501522112454e-05	0.0001534017989941	-0.0001646090750622	-0.0010440066265639	0.0001665556769073	0.0001836751474005	0.0001885562792903	-0.0001543444539495
ACACB	7.672582115768078e-06	0.0002029746641799	3.0031927787765944e-05	-0.0001194848609503	0.0002347535470202	-0.0008611408929009	0.0001812130075054	-0.0001420128054257	0.000121187802489	-8.48244669463173e-05
ACAD10	0.0001919340077013	6.363131061303833e-05	-0.0001805908074608	0.0001936732422746	4.393958119818605e-06	-0.0009589761177281	8.690676038428087e-05	-0.0001536261319458	-1.360362976744984e-05	0.0002584148384738
