	1	2	3	4	5	6	7	8	9	10	11
AATK	0.000387997698667	-0.0002413994523871	-0.000295832541584	-0.0003395669374281	0.0004045407188909	-0.000349459467822	0.0004324318863654	8.35216698450107e-05	-0.0002120740928268	0.0002571918835437	-0.0002747920005448
AATK-AS1	-2.887516722630935e-05	1.41251577282493e-05	-2.2793318256097206e-05	-5.521896815963953e-05	0.0001120721750164	-8.157080542466807e-05	4.0638068309346216e-05	5.391209885429431e-05	-3.734568119012547e-05	-5.288981892416197e-05	0.0002907692616164
ABAT	0.0002485106096676	0.0002831399222508	-0.0001030180758666	-0.0003124764216998	0.0001395529224873	-0.0004523673915648	-0.0001827197559989	-0.0001551012542659	-0.0004441839115551	0.0002848874011534	-0.0001615831121806
ABCA1	-0.0003903243799972	-0.0001540831620228	-0.0003889161975036	-0.0015569486869575	0.0009071623366784	-0.0010467283044538	0.0029053581248178	0.0015255756068133	5.0998573527724046e-05	-0.0002457737151519	-0.0003413576925493
ABCA10	7.758868203186363e-05	5.3371430624074384e-05	-8.098534050811964e-05	-8.610930223030995e-05	2.365124407871945e-05	-9.991216005669804e-05	-9.824464735676836e-05	-2.784235925954565e-05	1.3816029331658978e-05	0.0001181403358998	0.0005054990165028
ABCA12	-3.320917181111985e-05	4.962129849131244e-05	-3.5434840180855786e-06	2.343849005009691e-05	-3.3834175033885594e-05	-8.448612871373255e-05	4.903163290499837e-05	-3.662006701605331e-05	4.587493086779878e-05	-1.2683299357915188e-05	2.4492468137347716e-05
ABCA13	0.0002029135502032	-2.4070273540873185e-05	-6.187477818872055e-05	2.177340591715388e-05	-1.4106811371519676e-05	-0.0001254616302927	-6.837738907454258e-05	-5.576216865147264e-05	-6.576145829491115e-05	-9.3441263889418e-05	-5.7489060633037306e-05
ABCA2	-4.154506969097793e-05	3.491970162851924e-05	-9.151360635932248e-05	6.843016876479991e-05	-4.3649204991641895e-05	2.1398221844767173e-05	0.000123013733553	-6.895312887779476e-05	1.534999411003188e-05	-0.0001454288134995	0.0003590096106345
ABCA3	-0.000123121104057	5.8551948662644096e-05	0.0002576433761074	-4.442030588127124e-05	6.954384749803793e-05	-8.761175328790685e-05	-8.903385474699172e-05	-0.0001428882493313	-0.0001672050254823	0.0002327012005832	0.0002175765131038
ABCA4	-7.240543713641583e-07	-3.8656978920316665e-05	6.696359729313264e-06	-9.572410804157236e-06	0.0001679540619593	-8.512497058295122e-05	4.058339542785532e-05	4.72390006450832e-05	1.6805500801123616e-05	-7.21142371062483e-05	0.0001477562987742
ABCA5	0.0003373106048603	7.43185465000722e-05	-0.0002087769311391	-0.0001795003424238	6.170439571746082e-05	-0.0003916606374789	-0.0001496267093961	0.0001383240442142	-0.0001502992024709	-1.66799879615358e-05	0.0001346870875824
ABCA6	-0.0001420609104509	0.0001191399758148	-0.0001398931145038	-7.595049392980656e-06	4.557825771919301e-05	-7.546821604628982e-05	-4.6297253919253497e-05	0.0003731549440297	0.0002363495321373	-6.340779322819248e-05	3.404432463555676e-06
ABCA7	6.461388804322e-05	1.062072958973167e-05	-8.393380247209398e-05	3.979306820094669e-05	0.0001253481531805	-0.0001953484977089	-0.0002270347280541	4.438393934515013e-05	-0.000227058613033	0.0005056561850717	0.0001345672130358
ABCA8	-3.619939760263292e-05	1.2433956838557605e-05	-7.128008144183246e-06	-1.8997107094047627e-06	3.990164588343688e-06	-1.0575391346342518e-05	5.596438583591762e-06	2.916361050870349e-05	3.118164375485578e-05	-2.715256363490761e-05	0.0001467868322479
ABCA9	-4.12814779516027e-05	0.0001735245074342	-0.0001178999318755	1.886875586255908e-05	-3.694314379554015e-06	-0.0001101339242629	-9.54496304203423e-06	-9.140290401273766e-05	-5.632578037310492e-05	-3.634324893445239e-05	-5.702877260519014e-05
ABCB1	-0.0001130614816227	4.5422965765771296e-05	2.272806278888132e-06	-0.0001181297118965	9.66485656373066e-05	-8.401129774288971e-06	8.630423902560055e-05	-0.0001131254829738	-2.344406160220476e-05	8.98902139201435e-05	0.0016663815135697
ABCB10	-4.476818517477381e-05	0.0002839181429894	0.0003173139093493	-0.0001029766710319	-0.0002347480694718	-0.0002664288261712	-0.0002956130757987	-0.0002949518563787	2.0784788390695497e-05	-0.0001034888471288	0.0001266514220478
ABCB11	-2.529294099648892e-05	7.626850410467755e-07	3.2038593308463246e-05	3.4878063802574525e-05	7.911756034657756e-05	-8.470130074657764e-05	-1.794148744080631e-07	-2.589181649794737e-05	-2.8415367014920203e-05	5.197569302774834e-05	-3.353065204844315e-05
ABCB4	-0.0002118889152657	-5.487653321630455e-05	-8.116808123454255e-05	-5.154233647973544e-05	-0.0002104895928144	0.0005729110229947	0.0004921921187238	2.7246245069162896e-05	-8.04955662047363e-05	-4.90809545850982e-05	-3.1432861751840046e-05
ABCB5	-5.9525405329142935e-06	4.85122809179299e-05	-5.626591120331655e-06	2.462877529492703e-05	-2.396215913287217e-05	-7.245577195200283e-05	2.7592691798866025e-05	3.98617455626327e-06	1.6717025480643971e-06	-0.0002289205015871	-5.346704734869863e-05
ABCB6	-3.671055170128324e-05	-2.443096993075809e-05	-5.275490096475509e-05	-2.27671184476399e-05	0.0005241041415258	-9.119779096826514e-05	2.627142584644035e-06	-0.0001989964405558	-0.0001408135959629	0.0001384192170663	1.876359169942324e-05
ABCB7	-0.0001318839663462	0.0004077262474923	-2.475905789845381e-05	-0.0001940825259657	-0.0002172758406936	-0.0002364150223211	-8.290285163928471e-06	-7.753775760658662e-05	-0.0002143601324743	3.891399011336007e-05	-7.764617765789315e-06
ABCB8	-2.915289761848453e-05	7.425838599316738e-05	5.7217126507323305e-05	3.50529180275651e-05	-6.364400089209171e-05	-5.817775097741119e-05	-8.62790380937796e-05	-5.10866368601734e-05	-8.27943333655419e-06	6.336303324251694e-05	0.0001853368648111
ABCB9	-3.867678531008019e-05	2.367981144717149e-05	3.403233896096835e-05	-6.027208857324929e-05	0.0001408556259054	4.137007922053533e-07	-1.4921383460292146e-05	-0.0001533385005919	-1.441233035736714e-05	0.0001389952267642	3.787874603674249e-05
ABCC1	-0.0003004462327248	0.0004081054663668	6.381968824888262e-05	-0.0001411621171947	0.0001118528553243	-0.0002239235072205	0.0002596859401329	-0.0003402191474589	-0.0006013443296204	3.282016461779448e-06	0.0002464200830144
ABCC10	6.403301075687772e-05	6.449028110284784e-05	-7.77803172549045e-06	5.7642588411172815e-05	-3.117550403554185e-05	-6.886220683228996e-05	-0.0001134276041689	-0.000158115162516	-0.0001583350597409	-4.1115122308673255e-05	0.0002160309457103
ABCC11	-6.556495200882232e-05	5.249796601754053e-05	9.508882899314736e-05	-0.0001317986017526	2.9442107803266816e-05	-0.0001030184489572	4.276806105785843e-05	-8.428752106727125e-06	3.1499220476060936e-05	0.0001068500980399	0.0002685761332707
ABCC12	-4.548391523921808e-05	1.847712412603905e-05	1.274522326230979e-05	-9.597863255214024e-06	4.929997133642521e-05	2.031553046639345e-05	-2.0294187836751144e-05	-9.396314453933712e-05	4.194769962448149e-05	0.00021905231203	2.925560009664177e-06
ABCC2	-6.165718151860883e-05	5.366198543814137e-05	7.36003081822108e-06	-4.215166400301573e-05	0.0001241689921218	-3.7505133037324905e-05	-5.5367789531342784e-05	9.472490156173307e-05	-7.821170771094596e-05	-0.000177812203337	-9.021582404875433e-05
ABCC3	-0.0004675084901042	0.0002247848847044	0.0010748089057025	-0.0001477879903299	-0.000292822343581	-0.0001269529763311	-6.790822573305214e-05	-0.0003146124724337	-0.000596067470501	0.0009449911107446	-5.340987706160854e-05
ABCC4	-0.0007035616506018	0.0004656650753735	0.0001832111382529	0.000114622034951	-0.0001760186158195	0.0001921882652628	6.059927757570665e-05	-0.0002042000959698	-0.0003168433919718	0.00055318055501	0.0002471495570044
ABCC5	0.000283314220398	0.0002209313605807	-9.534834998168332e-05	-0.0001639613954204	0.0001393142509809	-0.0002747270278372	-0.0001619943030971	-0.0003796938848817	-0.0007131965346694	2.0051149720358055e-05	-4.464518467234733e-05
ABCC6	0.0003013362142295	0.0001179049992355	-0.0002503270162617	-0.0001998478167593	0.0002079323882624	-0.0004266466197903	-0.0001560933877822	3.245901032467135e-05	-0.0002188469822067	2.943216753699887e-05	-7.698137690414718e-05
ABCC8	2.218374263301699e-06	4.168599222154493e-05	-1.4467306709409188e-05	-0.0001170113793049	5.075969781485483e-05	-3.2421676012174814e-05	4.472559046709018e-05	-2.711878993108748e-05	-8.229298747229464e-05	9.070542734031986e-05	-1.1116940643536304e-05
ABCC9	-4.290820243081759e-05	0.0001051732952472	-1.6361321239814177e-05	-4.194089173494631e-05	-1.6978844733619492e-06	-9.328899669743108e-05	-1.808155721228444e-06	-9.27926872884554e-05	8.99908428184863e-05	7.84453473110338e-05	-2.9571335161722515e-05
ABCD1	3.906133402476252e-05	-8.00979622985425e-05	-7.265984185424457e-05	-6.651316502767476e-05	4.902753918229822e-05	2.1196773324314868e-06	7.092570083465901e-05	-6.100811875393199e-05	0.0003489045423664	0.0001615918266816	-0.0001328817718963
ABCD2	-4.104673186589266e-05	-2.7129801832794915e-05	-7.569968975842001e-05	-5.786009357633954e-05	-6.422634405456701e-05	-5.125504983286927e-05	3.567255191902616e-06	-4.807956603334596e-05	-5.095955606848636e-05	4.0703320362535646e-05	0.0071068016910702
ABCD3	0.0001130796690107	0.0003564919424514	-0.000120562207974	0.0001881371139953	1.336659833764927e-05	-0.0006446678509655	4.3497228771927855e-05	-0.0005072387176875	-0.0002971135588182	-0.0005959454169695	-0.0001700341797273
ABCD4	2.031915659879067e-07	0.0001543889237028	-5.646564168033696e-05	-7.199377162911224e-06	2.4259626948389152e-05	-0.0001107589865654	-0.0001263782583437	-0.0002675667515746	4.656602326084722e-05	0.0001363968123651	2.260256805024978e-05
ABCE1	-0.0005597776569169	0.0003474169480769	-8.689252203516162e-05	-0.0003575074403816	-0.000532300918371	0.0011548761563133	-1.965420858723635e-05	0.0003803211939035	-0.0002746184502189	-2.5985673395010803e-05	0.0001627670138194
ABCF1	-0.0003922114946066	0.000183684795127	-0.0001666789586325	-0.0001706566933967	-7.735389430579611e-05	0.0002094126576563	-5.74552804815587e-05	0.0012639475005905	-5.006926698673216e-05	-1.6659801737561015e-05	0.0001198759202852
ABCF2	8.580032521048173e-05	4.369451947305227e-05	-0.000141095522265	-5.136210384595442e-05	-0.0002043486189329	0.0003595812039103	-6.694651421446684e-05	-0.0001073579376125	-0.0001095452055823	8.872389749962589e-06	-0.000126014120655
ABCF3	6.598040820924373e-05	2.314740201980007e-05	4.9754114165910014e-05	-2.833794630406858e-05	-0.0001306334876724	-4.540194111121461e-05	-7.93136860056536e-06	-0.0001839052914115	-6.045395637180524e-06	0.0001016746086146	-5.598783452259323e-05
ABCG1	6.818882657052645e-05	-0.000113785100208	-0.0002341786149572	-0.0006173202622518	0.0004413756891936	-0.0004008265117138	0.000882771763982	0.000469822437602	-0.000132069111915	0.00014460227049	0.0002791551692375
ABCG2	2.3306158924145755e-05	4.061820035048705e-05	4.656399631845791e-06	-4.817953311741758e-05	-3.488966914306482e-05	-5.8512231482823725e-05	4.400039477535434e-05	-3.6578095250138005e-05	-0.0001647210773288	7.926989642069018e-05	-5.014285055153673e-05
ABCG4	5.260436132042611e-06	5.588994793269973e-06	5.4349207154978126e-05	-1.890794145942512e-05	5.338537700127326e-05	-6.321764248160403e-05	3.39486977853837e-05	-9.370586918597912e-05	-6.562442763570784e-05	5.2204974070983565e-06	-7.432889998547755e-06
ABCG5	-3.949775238653282e-05	4.7705206578120907e-05	-1.8223711603587853e-06	-5.073159690008399e-05	-4.7622707256810455e-05	-1.0450029722155148e-05	4.491304502393738e-05	7.204978033653312e-05	6.326286382601765e-05	-0.0002562280611407	-2.57741287004005e-05
ABCG8	-1.705600331289881e-05	1.5810479639689053e-05	3.789610396828049e-05	-4.038247673421934e-05	5.2237940735121775e-05	-5.118347326907328e-05	-1.143766827829252e-05	2.236151863451132e-05	-5.739996755743453e-06	-4.86339893327311e-07	0.000150032759863
ABHD1	3.022405924126118e-05	2.196409185741383e-05	-6.320775175504039e-06	-4.075319188433407e-05	4.245785676285477e-05	-4.6606177185509145e-05	-6.514865167316248e-05	-5.802395338698314e-05	2.806923091999009e-05	-0.0001039163581127	0.0005011262213585
ABHD10	-6.788734109912816e-05	0.0002490138500298	0.0004091029453472	-0.0001792895541679	-0.0002123585376002	-3.1046749995157816e-05	-0.0004113355456191	-0.0004609871915755	-0.0001085031739836	-3.3069122798340525e-05	0.00023666449138
ABHD11	-3.2114220068650665e-05	-7.125081800861836e-05	0.0003048530116589	-9.741138414267578e-05	-0.000136775899529	0.0002259196033498	-0.0001447083341041	-9.147842083286708e-05	-0.0001234252018348	6.835091166033444e-05	5.763325759641376e-06
ABHD12	-0.0005785284965063	0.000404285444818	0.000113474768758	-0.0003272073677268	0.0003254792523476	6.043460119851637e-05	0.0003722592857073	-0.0004327591653972	-0.0002305920320493	-2.2690167542896245e-06	5.198334239263391e-05
ABHD12B	3.769972428369639e-05	6.976076198138165e-05	2.531312256114275e-05	-0.0001828549035379	0.0002256895235875	-0.0001654666431518	-0.0001220054590562	-8.462588990767865e-05	-5.166145084244341e-05	0.0001516492437967	-6.337793669586165e-05
ABHD13	0.0002483652672583	0.0001733063464527	-7.096886444447079e-05	-8.853662501488001e-05	-0.0003718874201885	-0.0002345818932791	-0.0002597254131649	-0.0001176461046519	0.0001369151466041	4.370521161004889e-05	-0.0002054999563961
ABHD14A	-0.0001114058228064	2.757376092132267e-05	-2.0772330094260266e-05	0.000163198947541	-9.656418388601628e-05	0.0002819478762789	-1.6141576266857848e-05	-0.0001427864590167	-0.0001680522840842	4.386627413189978e-05	0.0002508085806401
ABHD14B	-2.1347408362801955e-05	8.141311541312917e-05	-0.0001986425379431	2.556337084008275e-05	-1.952776264843625e-05	0.0001640063060874	-9.551019718301794e-06	-9.307319053425796e-05	-0.0001708560066516	5.53946066297868e-05	-8.32247698522897e-06
ABHD15	-1.7142018970884948e-05	5.847971991274253e-05	-6.820816810656458e-05	0.0001114426553382	-5.056583901331291e-07	8.628839397297234e-05	-7.915914534017748e-05	-0.000154552632836	-8.110326778258683e-05	-4.809210988134668e-05	9.578196470036188e-05
ABHD16A	7.149674745599797e-05	-9.71904358181507e-06	-2.0365078118387422e-05	-0.0001643444092817	-6.081354869154031e-05	-0.0001280743335269	0.000164530680433	-0.0001185560583134	0.0001334437521465	0.0004794857046102	-0.0001838767235848
ABHD16B	3.1984704241418644e-05	-1.0209895097336324e-05	-1.2800417406020065e-05	1.1536166129532622e-05	1.4008831403509132e-05	-3.566801147745102e-05	5.924084756390135e-07	-9.85138356265149e-06	9.748347692347482e-05	-0.0001318830304099	-9.339160740812425e-06
ABHD17A	3.298447106883644e-05	-0.0002099103112965	4.2603669432727525e-05	1.7622438346683775e-05	-0.0002912436882722	0.0005596203102604	-8.578874247151022e-05	-6.147298392007104e-05	-8.768544114873307e-05	0.0008550735095512	0.0004829102122079
ABHD17B	-0.000205632992143	0.0002214998021052	9.81188274837168e-05	-0.00012277680551	0.0003232010757681	-0.0004907506707151	0.0004765317929754	-0.0005168253564095	-3.460393919553951e-05	-0.0002432949469841	0.0002763391264375
ABHD17C	0.0001949619492374	5.909106700272981e-05	-0.000151766152645	-0.0003858093963584	9.48289362916824e-05	-0.0004614654736422	0.0009843754334871	-0.0005940252109171	-3.462834870000332e-05	-0.000510290522989	-3.907359761618143e-05
ABHD18	3.901308814130435e-05	0.0004804939964933	4.554394673510292e-05	-0.0001805032853739	-8.113260659167277e-05	-0.0003619076446112	-0.0005757603382794	-0.0003916940211466	2.650617478095545e-05	-2.937737659995201e-05	0.0003583269350203
ABHD2	0.0003101601620202	0.0001701481244207	-0.000271059330606	-0.0008212812093593	0.0004326685262261	-0.0009992374752494	0.0012166788344	-0.0003547395470438	-0.0006293223703901	-0.0001173280577874	-0.00024876235239
ABHD3	-5.613380668043083e-05	0.0003325965601879	0.0005191792525468	-0.0004139613151633	0.0005439658509395	-0.0007819272648678	-0.0004310580145426	-0.0005718475780394	-1.547654608982404e-05	9.216536191654842e-06	-1.8003841668270577e-06
ABHD4	3.852643842345395e-05	9.410532485921914e-06	-1.2892531424203513e-05	2.4083560905050725e-05	3.0735008277079126e-05	-0.0001203429253269	-0.0001533958165718	-1.289638304044242e-05	6.036160209219968e-05	0.0005780690769513	-0.0001108398852056
ABHD5	0.0010521513510594	-0.0003461871414821	-0.0004084186398336	8.595228842971154e-05	0.0013601674735704	-0.0007311326010539	-0.0005600051515673	-0.0007066641367823	-0.0004227213933886	-0.0002813689732392	-0.000205358911257
ABHD6	-0.0004849176288856	0.0001897946853573	0.0006562052652379	-8.709544550230478e-05	1.9946220304150948e-05	-0.0002486440458616	0.0006356315732254	-0.0005237799158669	-0.0005019230973627	-0.0002785466680474	-0.0002315831712695
ABHD8	8.069068246984869e-05	5.121499521257373e-05	-4.168659756702786e-05	-2.8804890058662783e-05	-5.9087194271752126e-05	7.335055156925848e-05	-0.0002231082854248	3.875671042350377e-05	-0.0003515011999991	0.0002307089936606	7.39091002948144e-05
ABI1	-0.0002196776444036	0.0003466577073465	0.0002015662848487	5.572437079239663e-05	-0.0003060233361083	-0.0007271142486172	0.0003122578390662	-5.942568192288588e-05	-2.810616314514752e-05	0.0001555716999567	1.9578323430036623e-05
ABI2	-0.0007007178443653	0.0003679340161244	0.0002293035477479	0.0001017654023262	-0.0001365474068964	0.0002508345691556	0.0001425069798653	-0.000211108501412	-0.0003483099412811	0.0004821942280309	0.0002940358773988
ABI3	-0.0008415775297711	-0.0002351044129846	0.0016552145839015	-0.0004098151347582	-0.0002614357688308	0.0014663175870799	-0.0005221753313543	-0.0003212144638056	8.67563401487037e-06	-0.0001004842219931	-1.3309061099212042e-05
