	gene_symbol
AC092798.2	AC092798.2
AC092835.2	AC092835.2
AC092933.3	AC092933.3
AC093106.4	AC093106.4
AC093106.5	AC093106.5
AC093106.6	AC093106.6
AC093106.7	AC093106.7
AC093107.7	AC093107.7
AC093110.3	AC093110.3
AC093142.2	AC093142.2
AC093157.1	AC093157.1
AC093162.5	AC093162.5
AC093166.4	AC093166.4
AC093323.3	AC093323.3
AC093388.3	AC093388.3
AC093391.2	AC093391.2
AC093415.2	AC093415.2
AC093510.1	AC093510.1
AC093609.1	AC093609.1
AC093616.4	AC093616.4
AC093627.10	AC093627.10
AC093627.9	AC093627.9
AC093642.3	AC093642.3
AC093642.4	AC093642.4
AC093642.5	AC093642.5
AC093673.5	AC093673.5
AC093690.1	AC093690.1
AC093698.1	AC093698.1
AC093698.2	AC093698.2
AC093716.1	AC093716.1
AC093724.2	AC093724.2
AC093818.1	AC093818.1
AC093822.1	AC093822.1
AC093838.4	AC093838.4
AC093850.1	AC093850.1
AC094019.4	AC094019.4
AC096558.1	AC096558.1
AC096574.4	AC096574.4
AC096579.1	AC096579.1
AC096579.7	AC096579.7
AC096649.1	AC096649.1
AC096649.2	AC096649.2
AC096664.1	AC096664.1
AC096677.1	AC096677.1
AC096772.6	AC096772.6
AC096775.2	AC096775.2
AC097359.2	AC097359.2
AC097500.2	AC097500.2
AC097523.1	AC097523.1
AC097523.3	AC097523.3
AC097635.4	AC097635.4
AC097635.5	AC097635.5
AC097639.8	AC097639.8
AC097658.1	AC097658.1
AC097713.4	AC097713.4
AC097713.5	AC097713.5
AC097724.3	AC097724.3
AC098592.6	AC098592.6
AC098614.1	AC098614.1
AC098614.2	AC098614.2
AC098824.6	AC098824.6
AC098828.3	AC098828.3
AC098831.4	AC098831.4
AC099048.1	AC099048.1
AC099522.2	AC099522.2
AC099535.4	AC099535.4
AC099850.1	AC099850.1
AC100830.3	AC100830.3
AC103563.8	AC103563.8
AC103801.2	AC103801.2
AC104024.1	AC104024.1
AC104076.2	AC104076.2
AC104131.1	AC104131.1
AC104134.2	AC104134.2
AC104135.3	AC104135.3
AC104297.1	AC104297.1
AC104306.1	AC104306.1
AC104308.2	AC104308.2
AC104389.32	AC104389.32
AC104532.4	AC104532.4
AC104600.1	AC104600.1
AC104634.2	AC104634.2
AC104634.3	AC104634.3
AC104651.1	AC104651.1
AC104651.2	AC104651.2
AC104653.1	AC104653.1
AC104655.3	AC104655.3
AC104698.2	AC104698.2
AC104699.1	AC104699.1
AC104809.3	AC104809.3
AC104809.4	AC104809.4
AC104820.2	AC104820.2
AC104841.2	AC104841.2
AC104843.3	AC104843.3
AC104843.4	AC104843.4
AC104978.1	AC104978.1
AC105053.4	AC105053.4
AC105316.1	AC105316.1
AC105342.1	AC105342.1
AC105399.2	AC105399.2
AC105402.2	AC105402.2
AC105402.3	AC105402.3
AC105402.4	AC105402.4
AC105760.2	AC105760.2
AC107070.1	AC107070.1
AC107622.1	AC107622.1
AC107983.4	AC107983.4
AC108004.3	AC108004.3
AC108039.1	AC108039.1
AC108039.3	AC108039.3
AC108059.1	AC108059.1
AC108488.4	AC108488.4
AC109333.10	AC109333.10
AC109631.1	AC109631.1
AC109638.1	AC109638.1
AC109826.1	AC109826.1
AC109828.1	AC109828.1
AC110615.1	AC110615.1
AC110926.4	AC110926.4
AC111155.1	AC111155.1
AC111200.2	AC111200.2
AC112198.1	AC112198.1
AC112205.1	AC112205.1
AC112721.2	AC112721.2
AC113189.5	AC113189.5
AC113618.2	AC113618.2
AC114546.1	AC114546.1
AC114752.2	AC114752.2
AC114755.2	AC114755.2
AC114755.3	AC114755.3
AC115617.2	AC115617.2
AC115618.1	AC115618.1
AC116366.5	AC116366.5
AC116366.6	AC116366.6
AC116614.1	AC116614.1
AC119673.1	AC119673.1
AC120194.1	AC120194.1
AC123768.4	AC123768.4
AC124944.3	AC124944.3
AC125232.1	AC125232.1
AC125238.2	AC125238.2
AC125238.3	AC125238.3
AC127496.1	AC127496.1
AC129492.6	AC129492.6
AC131097.3	AC131097.3
AC131568.1	AC131568.1
AC131571.2	AC131571.2
AC131971.1	AC131971.1
AC132192.1	AC132192.1
AC132872.1	AC132872.1
AC132872.2	AC132872.2
AC133141.1	AC133141.1
AC133528.2	AC133528.2
AC133644.3	AC133644.3
AC135048.13	AC135048.13
AC135178.1	AC135178.1
AC136604.1	AC136604.1
AC137932.1	AC137932.1
AC138123.2	AC138123.2
AC138517.4	AC138517.4
AC138623.1	AC138623.1
AC138744.2	AC138744.2
AC139085.2	AC139085.2
AC139143.2	AC139143.2
AC139452.2	AC139452.2
AC139712.1	AC139712.1
AC139712.2	AC139712.2
