	gene_symbol
AC005008.2	AC005008.2
AC005009.1	AC005009.1
AC005009.2	AC005009.2
AC005013.1	AC005013.1
AC005014.2	AC005014.2
AC005014.3	AC005014.3
AC005014.4	AC005014.4
AC005019.2	AC005019.2
AC005020.2	AC005020.2
AC005021.1	AC005021.1
AC005034.2	AC005034.2
AC005034.3	AC005034.3
AC005034.4	AC005034.4
AC005034.5	AC005034.5
AC005034.6	AC005034.6
AC005037.1	AC005037.1
AC005040.2	AC005040.2
AC005041.1	AC005041.1
AC005041.3	AC005041.3
AC005041.4	AC005041.4
AC005041.5	AC005041.5
AC005042.2	AC005042.2
AC005046.1	AC005046.1
AC005050.1	AC005050.1
AC005050.3	AC005050.3
AC005052.2	AC005052.2
AC005062.1	AC005062.1
AC005064.1	AC005064.1
AC005070.3	AC005070.3
AC005071.1	AC005071.1
AC005072.1	AC005072.1
AC005076.1	AC005076.1
AC005081.1	AC005081.1
AC005082.1	AC005082.1
AC005082.2	AC005082.2
AC005083.1	AC005083.1
AC005086.1	AC005086.1
AC005086.2	AC005086.2
AC005089.1	AC005089.1
AC005090.1	AC005090.1
AC005091.1	AC005091.1
AC005096.1	AC005096.1
AC005100.1	AC005100.1
AC005100.2	AC005100.2
AC005104.1	AC005104.1
AC005104.3	AC005104.3
AC005144.1	AC005144.1
AC005150.1	AC005150.1
AC005153.1	AC005153.1
AC005154.4	AC005154.4
AC005154.5	AC005154.5
AC005154.6	AC005154.6
AC005162.1	AC005162.1
AC005162.2	AC005162.2
AC005162.3	AC005162.3
AC005165.1	AC005165.1
AC005165.3	AC005165.3
AC005180.1	AC005180.1
AC005180.2	AC005180.2
AC005186.1	AC005186.1
AC005197.1	AC005197.1
AC005208.1	AC005208.1
AC005209.1	AC005209.1
AC005220.1	AC005220.1
AC005224.1	AC005224.1
AC005224.2	AC005224.2
AC005224.3	AC005224.3
AC005225.1	AC005225.1
AC005225.2	AC005225.2
AC005225.3	AC005225.3
AC005229.4	AC005229.4
AC005229.5	AC005229.5
AC005234.1	AC005234.1
AC005234.2	AC005234.2
AC005237.1	AC005237.1
AC005244.2	AC005244.2
AC005252.4	AC005252.4
AC005253.1	AC005253.1
AC005253.2	AC005253.2
AC005258.1	AC005258.1
