	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
AAR2	-2.15892254135978e-05	-6.1001953306664126e-05	5.348540565719567e-05	7.243902593246306e-05	-0.0017620577652789	5.3935111420209394e-05	0.0002991414113267	0.0001918572373214	8.722057247810642e-05	0.0007787950392043	0.0002675936129548	0.0002985297496945	0.0001309251330886	-7.308540586572934e-06	0.0001341339737694	-8.553067192620061e-05	0.0001059421364753	-1.4498924817530766e-05	-7.983494449048038e-07	-0.0001074679643271	0.0001993353437971	-3.007294062935524e-05	0.0002728493254142	-5.383214970809596e-05	-0.0001334067789545	6.330972798451124e-05	0.0001765541455983	-0.0002858952886355	0.0001571645691891	-0.0002084345352057	0.0001839450213607	-1.314071616651029e-05	0.0002836293116248	-0.0006671619860501	-0.0002874101125581	-0.0003720707461532
AARD	2.5247733568592258e-05	-3.645869700627234e-05	-4.392071816060816e-05	-5.163467032113524e-05	-0.0001940384643563	1.0915459931114474e-06	-4.255060622122245e-05	-7.010906591176064e-05	0.0001147733470947	7.488459633579102e-05	-0.0001776650337313	-8.746490083656635e-05	-2.517024574138968e-06	-2.724055561755784e-05	-4.780945914526237e-06	-9.410418271646828e-05	0.0001034329915249	-6.23617918913339e-05	-0.0002563623318066	-5.91651632742231e-05	-0.0001404754384084	0.0018528938148829	-0.0005458158024148	8.347519683960456e-05	7.79887952000579e-05	-2.08314300176026e-05	-7.449192861645615e-05	0.0003068600099772	0.0001898882101349	3.824415955026107e-05	-0.0002666081573462	0.0006179498186462	-8.10511980828049e-05	-0.0007843514961941	-5.9009502043688174e-05	1.84103453525486e-05
AARS	0.0001598263492272	-0.0001758851303296	0.0003854243209968	0.0001032301902963	-0.0004937093533755	2.5024382560068947e-06	-1.5409283308618672e-05	0.0001634020901828	-4.144206468996851e-05	-0.0002837789566828	0.0001905371275951	7.328451983895103e-06	-0.0001379099929403	-0.0001418908789021	2.4406176556348022e-05	-0.0002179659686313	-7.917417830987922e-05	-9.40346319995826e-05	-2.992784256057525e-05	8.442980502189231e-06	0.0002649467333942	-5.688505048663018e-05	-0.0001104535457047	-0.0001885917019253	-0.000147533190543	-7.031771741948826e-05	3.837584743689052e-05	0.0001193211270253	-0.0001785587929648	0.0011961772079056	-6.682106699635153e-05	-9.99064180288384e-05	-7.298378524452011e-05	7.589965468273615e-05	-0.0001700693091047	5.914233269774851e-05
AARS2	7.242098622853557e-05	7.868863530372417e-05	0.0002242843301965	0.0001131424312212	-0.0007817502074637	-2.1353246166833225e-05	-8.954053064426173e-05	-2.05301221736147e-06	-1.0887980990514687e-05	0.0001582611834907	2.246548578298685e-05	0.0002160756086129	2.950685026310984e-05	1.3728522065450022e-05	-0.0002621777218261	-5.15975859793094e-05	0.0001060588167147	-9.442497708211106e-05	-5.715495173820253e-05	-0.000138818400135	0.0001429122526728	-6.800018183175222e-05	3.552784300219042e-05	-0.0001176918805751	-1.0941670579338217e-05	4.9376534842603246e-05	-6.258711191217534e-05	0.0001463534228037	0.0001855585490758	4.12570242461315e-05	0.0001914828875494	0.0001265453555273	0.0003341362869148	-0.0004410274409161	1.2258479948561109e-05	-0.0002947964886725
AARSD1	-2.765032163527362e-05	0.0002160170503597	-8.20898024452434e-05	1.6671812294545243e-05	0.000341765286607	3.632097367355146e-05	-5.226249390314155e-05	4.832201259601473e-05	-0.0001571264681517	-8.954776235304017e-06	-0.0001950223940054	-0.0001103293224313	-5.26830067249398e-05	-2.270030003721124e-05	0.0001170843952628	-0.0002135977328677	6.498282525769657e-05	-0.0001275614269583	-7.926856166384914e-05	-1.0287745191539677e-05	5.106029454723567e-05	-0.0001047727865543	-0.0002350361517505	-4.126396310097702e-05	-4.862845722129714e-05	0.0003181038894716	-0.0001331432663072	-8.081396780079111e-05	0.0002097167649409	-4.656661329154055e-06	3.196974364960689e-05	-7.511626498628597e-05	-0.0001286200297633	-0.0002088315759982	-0.000179102776227	-0.0001510709180403
AASDH	0.0001945130735673	-0.0001264010946212	6.87211434697314e-05	0.0002676324022474	-0.0004718032499459	6.499916934592196e-05	-5.8154739901223934e-05	-8.106628156903981e-05	0.0001035320537348	-0.0002435848111956	9.78399712472824e-05	0.0001145456080568	3.371931284922181e-05	2.4656688813962217e-06	-0.0001275976631272	-0.0001160387266486	0.0001713484367278	-0.0001116175994772	-0.0001661493676767	4.9851829995269285e-05	-0.0001389358022281	0.0001065063250135	0.0002317146383979	-0.0002197147673388	0.0001031790223521	-0.0001808675590641	0.0002907005380957	-0.0001396058039198	0.0002160229270694	-0.0001823526634843	-0.0001873724425056	-0.0003802420535278	-0.0002742785852838	3.165723603613948e-05	0.0002184831814994	-0.0002522283960044
AASDHPPT	4.5145529082255325e-05	0.0001536351117111	-0.000154915227552	-0.0001494056657066	7.689178109283877e-05	2.93366741585152e-05	-0.0002586951166762	-1.3551309338164858e-05	4.47705381911e-05	-0.0006413963471776	4.446414803700161e-05	-0.0001215823969959	6.906489748868393e-05	0.000209791066068	0.0002666823321675	0.0001378791898989	0.0001855986722013	-2.0922360825935605e-05	4.458993438508313e-05	0.0002309152907045	6.14513408336381e-05	9.730331041364572e-05	0.0001105406941304	2.217069003579589e-05	0.0003327154802083	-0.0003896415465951	0.0001958424512738	0.0001507682559644	0.0001505167525283	-0.0003539501093677	0.0001044138403383	6.273745110558913e-05	0.0001743476234588	-0.0005517331321361	-0.0002522892575984	-0.0003707269928065
AASS	3.66003346669701e-05	0.0002113091017544	-6.061638511047025e-05	0.0009746908222013	-0.0010085300137546	-2.2765556087487584e-05	-7.885696980372222e-05	0.0001462009816338	-2.0266918682466372e-05	-0.0002126592531852	-9.903812341754152e-05	0.0004253434086816	-2.209712057560132e-05	-2.8862657332113704e-05	-0.0003942499001983	-1.5424990760007232e-05	-0.0004536041357794	-0.0004063504776664	-0.0003495913424127	0.0003243427186594	-0.000419691256361	9.658148347181634e-05	0.000338289967917	0.0001154678729127	-0.0002806901029852	-0.0002223021576083	-6.899226605461305e-05	-0.000290853142395	0.0008295237340203	0.0002369767195411	-3.485907474535524e-05	-0.0001165102800056	-0.000305005455789	-3.838939260534798e-05	-0.0001453858968294	-2.598132367279002e-05
AATF	-0.0002018959001968	0.0008108643079021	0.0003021883864506	-5.218524538383408e-05	-0.0038791947453692	-0.0001202743225509	5.278484555642994e-05	-0.0001170437303237	-4.22291830728767e-05	0.0014640224744515	0.0007851686600854	0.0007158542181474	2.2373843049526088e-05	5.2687601027785096e-05	0.0002200891468703	4.996605521728932e-05	3.56304888729542e-05	0.0002175162887898	0.0001927082570082	0.0002193626100385	0.0003309223817849	0.0004042403538262	-9.303078575656682e-05	-0.000145701208133	6.160502356337393e-05	-0.0001919670718895	0.0002464253281725	6.590604468855723e-06	6.282638008790856e-05	-0.0003399182943509	-3.883368830371817e-05	1.967915623561814e-05	-0.0001473865022806	-0.0003488283643717	-0.0001294132307845	-0.0003944122820394
AATK	-0.0001002741726898	-3.081498078459355e-05	0.0001613509000776	0.0002493842964098	-0.0003763812211957	3.1718182461894115e-05	4.59511770875085e-05	3.093532390855921e-06	-7.791706108464238e-05	-4.68173763224206e-05	4.048774006384845e-05	5.577040781447349e-05	-0.0001473925554667	-5.200885305941028e-05	-0.0001391813837829	0.000232556251189	7.95221022254313e-07	-1.516188622198688e-05	-0.0001847591754879	-0.0002658297984816	0.0004029058727557	-4.40950520186497e-05	0.0001506131232547	-0.0002167464693634	0.0002291121111491	-0.0001697861295178	3.37605411523975e-05	0.0003650585544231	-3.963223147343176e-05	0.0004486153431219	-0.0001763865317088	-0.0001703193232491	0.0002119725765202	0.0009345283911625	-0.0001150893136249	-7.30658237956835e-05
