1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
EPB41	ANKMY1	LPP	MICU3	RPS23	SH3BGRL2	PRKCA	FAM65B	AKT3	BORCS5	RABGAP1L	SYTL3	PAG1	SIPA1L2	HLA-C	AFDN	NBEA	SORL1	PLD1	SRGN	RAPGEF2	PMAIP1	GLCCI1	EFHC2	TFCP2L1	MAP4	ZNF704	GALM	GNLY	H3F3B	DDX60L	PTMS	TMEM40	CSF2RA	LINC00570	BLVRB
RAPGEF6	RAP1GDS1	MBNL1	FAM160A1	RPL26	FCGBP	PLAC8	CYLD	GNAQ	ZFP36	ITGB1	SETBP1	RPS6KA3	PARP8	KLRD1	LINC00299	MAML3	LINC00511	ADAM19	KLRG1	EEPD1	GBP5	LINC01281	IL7R	CTSW	METTL8	MCTP1	JUN	VIPR2	TNFAIP3	MT2A	HMGN2	CXCL5	PID1	HEPACAM2	NAGS
TXK	ITFG1	GNAQ	DLG2	RPS3A	FBXO32	PASK	RBMS1	FAM19A1	SPDYA	MIR4435-2HG	VAV3	CDC14A	NTN4	CYBA	KLRB1	CALCRL	MTUS2	ZFYVE28	EOMES	TSC22D3	F5	SETD7	EPHA4	EPHX4	CCND3	PTPRJ	HIST1H2AE	KLRC4	SLC2A3	MX2	CORO1A	LY6G6F	HCK	TAL1	TTLL9
ANKRD55	TBC1D5	HRH2	MTUS1	RPL17	CARS	ST6GALNAC5	ADTRP	AP3M2	EIF1	PELI1	PPP1R16B	CLIC5	BANK1	CTSW	TTC39C	MIR325HG	GATA3-AS1	CAPG	DTHD1	CA5B	LINC00426	SESN3	FAM13A	NCALD	NDC1	TRPS1	TFRC	FCRL6	YPEL5	USP18	SLC25A5	SNCA	MPEG1	GYPA	BPGM
ATM	RSRC1	BICD1	PBX1	RPL28	NAA16	FUT8	KANK1	LPAR6	YES1	UTRN	AUTS2	DYSF	LATS2	PFN1	AQP3	SSBP2	GNAQ	ZNF365	IFNG	MAPRE2	ZC3H12C	MAP3K1	PDE4D	PLCB1	MPP6	BICDL1	C3orf58	GAS7	PDE4C	TRIM22	S100A4	BEND2	RAB32	HBQ1	WASF1
DOCK10	HNRNPA2B1	INPP4A	NR3C2	RPS28	DSEL	CCDC141	ITGA6	MAP3K5	CXCR4	CDC42SE2	IQGAP2	MCOLN2	KIF5C	PROK2	LTB	ITM2A	RAB11FIP1	SOS1	GZMM	GNG2	CHST11	MAGI1	SNTG2	SYTL2	SCMH1	CBLB	IFRD1	SPECC1	NR4A1	PGAP1	HLA-DPA1	CD9	KYNU	BLVRB	C3orf30
PITPNC1	METTL15	MACF1	EXPH5	RPL34	REG4	ENOX2	TRAT1	SORL1	ZEB1	BICDL1	KLF12	ERN1	IL4I1	HCST	KIF5C	TOX	TIAM1	MYO16	HLA-A	ESYT2	CCR3	LINC00402	PPP4R4	XCL2	ST3GAL3	PHACTR2	HIST1H2AH	FAM49A	DNAJA1	HERC6	CDC20	MYCT1	LPCAT2	TSPO2	RIMS2
MLLT3	RPS6KC1	TSPAN18	RNF130	RPS4X	LRRN3	SESN1	ESR1	TIAM1	FAM46C	TLK1	SAMD3	HOPX	SCRN1	CLIC3	ZNRF1	BMP2K	LINC00152	KLHL4	TIGIT	MPP7	NEAT1	HMCN1	PARD3B	RRAS2	CLYBL	RNF19A	TEX14	CD63	GALM	OAS2	ARPC5	GUCY1B3	WDFY4	SLC25A39	ZNF503-AS1
CMTM8	SIMC1	FAM168A	KLHL29	RPL12	ATM	CD200	TXK	PCNX1	AIM1	CDCA7	ATXN1	RORA	COL5A3	ARPC2	RUNX2	ST3GAL6	HIVEP3	PLP2	HLA-DRA	PPP1R15A	IL32	LDLRAD4	ANK3	AGPAT4	PPP2R3A	TOX2	PABPC1	TTC38	RGCC	PARP14	ARPC3	SEPT5	CHST15	GMPR	IQCK
TESPA1	WDPCP	ANKRD44	PLEKHH2	RPS25	PECAM1	BTBD11	PDK1	ATXN1	GRK5	TOP2A	PAM	GML	RORA	HLA-B	C1orf186	RAPGEF5	PRKX	PI16	KLRK1	UST	ATXN7L1	FCRL2	MCOLN3	L3MBTL4	PKP4	LAYN	HIST2H2AA4	PDLIM1	PLEKHG2	RNF213	ARPC1B	LGALSL	P2RY13	OVCH2	MYCT1
RUNX1	TASP1	ADARB1	IGF1R	RPL10A	TPST1	PKIA-AS1	CXorf58	PHACTR2	PPP1CB	PVT1	PARP8	RASGRF2	CXXC5	ZNF683	TNFRSF18	SPOCK3	FNIP2	SAMSN1	VCAM1	JUND	SEMA3G	MRC1	C1orf186	MATK	WRN	FGFR1	SPTAN1	CMC1	IFRD1	LAMP3	S100A6	LCN2	CXCL8	GYPB	FECH
FAM117B	NORAD	NOL4L	KANSL1L	RPL23A	FOXP1	INPP4B	AP3M2	STT3B	CDC42SE2	TMEM2	STAT4	UST	A2M	APOBEC3G	GPRIN3	AOAH	C9orf135	AHRR	HCST	ISM1	PRDM1	ARID5B	SNX7	PTMS	DDX21	RBM20	SNX32	PTGDR	TSPYL2	OASL	SUB1	NCOA4	CDA	SMIM24	CCL4L2
IPCEF1	GMDS-AS1	OPRM1	ACVR1C	RPL5	CERS6	GPRIN3	ATP10A	ARID5B	EZH2	CD226	CMIP	EMB	KLRG1	S100A6	ARHGAP10	GPC3	EGLN3	IL9R	CTSW	CYTH1	MIR4435-2HG	BIRC3	RIPK2	NKG7	ANKUB1	PIP4K2A	MYLIP	CEP78	KIAA1683	IFI16	ARHGDIB	TRIM58	HLA-DRA	OR2H1	METTL24
FYB	AKT3	FCHSD2	SUCLG2-AS1	RPL14	TTTY14	AFF3	INPP4B	SERINC5	AREG	KLF12	MTSS1	DOCK10	CYTH3	MYL6	LIMS1	HERC1	SND1	CEP112	HLA-DQB1	HIPK1	USP15	SGPP2	MGAT5	GZMA	CENPP	LRMP	HFE	KIR2DL3	NR4A2	SAMD9	HLA-DQB1	TAL1	SPI1	LPCAT2	CORT
UBASH3B	FAM35A	EIF4G3	AKAP6	RPL35A	GPR155	TSPAN5	UPP1	MGAT5	DENND4A	ASAP1	RAPGEF1	WDR63	PRSS35	HLA-A	ADAM12	GRK3	SESN3	ANXA1	HLA-B	WDR35	ANTXR2	NAV2	USP46	EFHD2	SSH2	LGALS3	HIST1H2BF	PIK3AP1	MYADM	ISG20	CLIC1	PVALB	PDK4	MPP1	LNX1
SSH2	ADK	XYLT1	LRP6	RPL6	CD55	IL6ST	SNTB1	ITGB1	POLR2A	CENPE	PRKCB	CXCR3	GPR65	CLIC1	TNFRSF4	CAMK4	PCNX1	PLEKHA5	MAP3K8	EZR	HLA-DRB5	PELI1	TIMP1	ADAMTS1	WWOX	ABHD17B	SLC38A2	KIR3DL1	CCNL1	PNPT1	S100A10	LINC00989	CSTA	ESRRG	ANAPC2
NELL2	EHBP1	SCFD2	DNAJC6	RPS9	DOCK10	LIMS1	RPS6KA5	LRIG1	RHOH	LINC00426	PPP2R5C	NECTIN3	PDE4D	FLNA	RPS6KA3	SMC4	ARHGAP15	LMO4	FCRL3	GATA3	HLA-DRB1	C12orf42	NELL2	ADGRG5	PAICS	TMEM2	H2AFX	CCL3	TSC22D3	SP110	ARPC2	THBS1	SLC11A1	BPGM	IFI30
SLC16A10	RFX7	CC2D2A	LRRC7	NACA	SH3RF3	PCBP3	GREM2	MBP	RAB11A	TNIK	PTPN12	HIP1	GZMA	CES1	SOS1	SERPINE2	ZP1	EEPD1	CD8B	BICDL1	SKAP1	SLC12A6	CYP4X1	ARHGAP26	MACROD2	KLHL2	ID2	SLC22A15	ANXA1	IRF7	ANXA2	ITGA2B	CLEC7A	UBB	EYA4
KIAA0922	INVS	SLC39A11	APBA1	RPS5	SUPT3H	F5	IL4R	CD96	CRY1	MAF	LGR6	IQGAP2	MPPED2	ACTB	ELOVL4	KC6	GPR155	TXN	SH2D1A	SYNE2	PALM2-AKAP2	MIR3142HG	NCAPG2	KLRC2	IMMP2L	LDLRAD4	HIST1H2BE	ITGAX	CD83	BST2	HLA-DPB1	TRAPPC3L	LINC01272	GPC6	TGFB2
NDFIP1	MTAP	CAMKMT	ZC4H2	RPS15	AIF1	FAAH2	ARHGAP15	LRRC8C	PLEKHA2	PPP2R5C	EPDR1	PDE4D	DLEU7	CD99	YWHAH	ATF7IP2	NRIP3	ALOX5AP	MCOLN2	SAMHD1	ARHGEF12	CEACAM4	NEDD4L	LYAR	MYO9A	UTRN	CDKL2	SKAP2	MLF1	HELZ2	H3F3A	TMEM158	CD86	DCAF12	ZNF300
IL7R	HIBCH	STAU2	EML5	RPL8	PASK	KLHL42	C18orf25	AIM1	CD83	CYTH1	PTPRJ	AKT3	FOSL2	TRGC2	WDFY2	MAP3K1	FAM107B	MFHAS1	RGS1	MIR24-2	LGALS3	RNF175	GRIP1	CEBPD	PRKAG2	RHOH	GCH1	TIGIT	POLR2A	UBE2L6	CD52	HIST1H2AC	FPR1	FOXO6	KCNAB1
SCML4	TMLHE	C22orf34	NAALADL2	FAU	SERINC5	CBLB	PLXNA4	ST8SIA1	CDK17	CDYL2	DNAJC1	PIP4K2A	IL7R	LGALS1	PAG1	ADAM10	INPP4B	MAP4	TRGC2	TUB	BARD1	ANK1	DCHS2	KLRK1	TYW1B	NUCB2	HIST1H4H	CTSW	DNAJB1	IRF1	ANXA5	ADRA2A	ZNF804A	HIST1H3G	RUNX1T1
PDE3B	RAB28	DOCK2	EVI5	RPL37	ACTN1	TNIP3	LTB	FYB	PDCD4	COTL1	TFDP2	CHST11	PZP	ITGB2	MDFIC	MAST4	PPP1R16B	SH3BGRL3	HLA-C	PBXIP1	SMCHD1	GPHN	LARGE1	MYBL1	ARHGEF18	PRDM8	NUFIP2	KIR3DL2	MIR24-2	GBP5	PPIA	CA2	JDP2	DMTN	ZNF547
CAMK2D	PHF3	DISC1	SSBP2	RPL15	KCNQ5	INPP5F	SLCO3A1	LPP	IFRD1	RNF19A	PDGFD	FAM129A	ID2	CD52	NEAT1	ADGRA3	LINC01229	GLIPR1	CD81	ATP2B4	ZNRF2	SLC9A7	RBMS1	CST7	SLC25A13	RAP1GDS1	PEX11G	SH2D1B	EIF1	APOL6	CALM3	SMOX	RTN1	TNFAIP2	PLBD2
SH3RF3	EXOC6B	DTNB	SPEF2	RPL9	CA6	PVT1	ANK3	ETV6	CHKA	EIF3A	AKNA	MDFIC	ERN1	SYNGR1	CCL20	ZEB1	CHDH	KATNAL1	IL32	CRY1	TTC39C	SKAP1	RUNX2	CCL4	PPP1R14B	RPTOR	SRSF7	PLCG2	CROCC	GBP4	HMGB3	RAB32	LILRA5	NFIX	B4GALT7
SSBP2	XPR1	TRAPPC9	UACA	RPS19	ZNF496	WHSC1L1	NFKB1	MFHAS1	DUSP2	ABLIM1	FAM53B	MVB12B	NFKBIA	GZMM	DLEU1	ITGA6	PHTF2	LINC01362	TNFRSF9	CYSLTR2	IQGAP2	DUSP16	CLIC4	C1orf21	SMARCC1	ARAP2	HEXIM1	SLCO4C1	MYLIP	DTX3L	PRDX1	FAM26E	FAM198B	ADIPOR1	CCNE1
TC2N	ANKIB1	MTFR1	FTCDNL1	RPS13	OXNAD1	TXK	ITGA4	TRERF1	PIK3R1	PHACTR2	PICALM	ST6GAL1	PLXDC2	CTSC	IL4I1	KCNQ5	MYO1D	PPARG	HLA-DRB5	ANKRD28	HLA-DQB1	PYHIN1	USP10	ZNF683	KIAA1958	PAM	HIST1H2BB	STYK1	RHOB	IFIH1	UBE2C	NFE2	LYN	ADCY8	C6orf163
BCL11B	SMCHD1	MAK	CCDC102B	RPS16	PRDM5	OPRM1	AFF1	UST	MAPK8	CD109	TCF7L2	PAM	TSPAN15	CD8B	DLGAP1	SCAI	PKP2	LPAR6	APOBEC3G	TAGAP	SETD7	DGKH	TIAM1	ID2	RPS17	PCAT1	ZC3HAV1	TRGC2	ADGRE5	IRF9	TPM4	PDGFA	EGR3	TMEM176A	ZNF222
TCF7	CEP83	STIM1	DOCK3	RPS27	LEF1	ST6GALNAC3	SLC40A1	PIK3R1	JUND	KLHL5	HIVEP3	ABCB1	PLXND1	HLA-DPB1	PLCB1	FCGRT	UST	EMP3	SLAMF7	RAB11FIP1	CCR4	AFF3	TNFRSF4	LATS2	C9orf3	TIMD4	HIST1H1B	SLC4A4	CITED2	IFI35	LIME1	SCGB1C1	LINC01506	FLJ33581	MKRN1
CNKSR2	BCKDHB	ANKMY1	ZBTB20	RPLP2	SFRP5	TIMD4	CD55	CAMK4	ZSWIM6	PRKCH	TOX	SAMSN1	CXCR6	ABHD17A	REEP3	ETS1	CRAT37	B4GALT5	GTDC1	GPATCH2	TRIB1	INPP5F	KIT	HLA-B	TMTC2	BRD7	STK17B	ITGAD	NAMPT	GBP2	SERF2	AVPR1A	PLXDC2	CLIC2	RENBP
IKZF1	RTTN	SCAI	TRPS1	RPL24	PCSK5	MAML2	DPYD	IQGAP2	ARIH1	FAM160B1	CHST11	LRIG1	SPTSSB	CD63	ADAM10	BACH2	STT3B	TP63	C12orf75	UCP2	ATP2B1	F5	PLCL2	APOBEC3G	DENND1A	SYNE2	SPDYA	JAZF1	SAT1	PARP12	DBI	SMIM5	MS4A7	LINC01241	YBX3
FKBP5	SCMH1	GLG1	TMEM232	RPSA	KLRC4	GCNT2	OXNAD1	SFMBT1	ZFP36L2	TBL1XR1	CBLB	SLFN12L	NEO1	DBI	RORC	IKZF2	PPP3CA	MTSS1	PYHIN1	MLF1	TNFRSF9	SELP	SOS1	TGFBR3	LINC01115	MIR181A1HG	IER5	RRAS2	LETM2	SMCHD1	RAC2	GAS2L1	EREG	CYP26C1	IFI27
LRRN3	UMAD1	VAV1	PATJ	RPL22	PSMA1	MAP3K5	PALM2-AKAP2	CD84	JMY	RAPGEF1	FAM49A	ANTXR2	BHLHE40	TBX21	S100A11	PCBP3	FXYD7	CLU	SAMD3	TNFAIP3	FAM46C	EPB41	AGAP1	PRF1	PUS7	PDE4D	LDHC	DRAXIN	SLC38A2	LAP3	MIR181A1HG	ESAM	NAMPT	FECH	CDKL4
