1	2	3	4	5	6	7	8	9	10	11	12
RUBCNL	PSAP	H3F3A	RPS23	FAM65B	TEX14	CDKN1A	MAPK1	MMRN1	GYPC	APOBEC3A	EBI3
CHD9	CRISPLD2	RPL24	HSP90B1	MACF1	PPM1N	REL	IDS	ASS1	ID2	MARCKS	NRP2
SCN9A	LTA4H	CSTB	RPL10A	TET3	BTBD11	CTSS	ELF1	DAPK2	SH3RF2	IFITM2	RNF182
MAN1A1	GIMAP4	C1orf162	C12orf75	PTPRC	SUSD6	BTG2	CAPN2	KDR	PATJ	BLVRA	HPGD
WWOX	TMEM176B	RPL34	EEF1B2	PLCL2	EPB41L3	NFKBID	ZDHHC1	LBR	HLA-DPB1	PSME2	CDHR3
COL26A1	CES1	RPL10A	RPL17	BAZ2B	PIK3R5	CCL4L2	AAK1	NFATC2	S100B	PSMB9	CD164L2
PHC3	KIF13A	ATP5G2	RPL36AL	ANKRD17	SNAPC1	ZEB2	HEATR5B	PTPRE	FUT8	NMI	ZNF541
HHAT	FOS	RPS29	CTSC	AHCYL2	ADAM28	FCGR2A	CREB5	MYOM1	NEGR1	C19orf66	IL7R
VAV3	CDA	ENHO	PTGDS	MIR646HG	UBE2F	DENND5A	SAMHD1	SLC1A4	SNX22	SP100	KLRK1
RAP1GDS1	SIRPB2	CLIC1	RPL7A	NSF	CASP9	ATP2B1	RTN4	YWHAZ	SLAMF8	CCL2	RASGRP3
UTRN	ATXN1	RPL6	C9orf142	WDR7	IFRD1	ARHGAP22	CALCRL	ANXA2	KIAA1958	TRIM25	PTPRK
PCNX1	GIMAP1	PRELID1	EEF1A1	RIN3	STX5	SRGN	PTAFR	HIVEP2	LACC1	XRN1	B4GALT2
TASP1	ITGB2	RPL37	SMPD3	FKBP5	ELMO1	AOAH	MTSS1	TRERF1	PNMA1	IFIT5	GPC5
TBC1D4	TBXAS1	RPLP2	RPL21	DIAPH2	PADI6	C1QA	GNG2	VASN	CST3	PML	PPP2R2B
ANKRD12	CD36	RPL35	LTB	MED13L	CSF2RA	ZNF267	RAP1B	SCN9A	SEPT3	NLRC5	ANK2
GALNT2	NLRP12	EEF1G	NUCB2	WDFY3	ARF4	NLRP3	ARHGEF40	SOS1	ZNF462	JUP	ZBED2
SNX9	DUSP1	SLC25A5	UBC	NEGR1	NR4A2	SECTM1	RNF13	ARPC2	PTK2	ETV7	ADORA2A
SLC35F3	DIRC2	HLA-DRB5	RPL27	MAP3K5	MAP2K1	GFRA2	MBNL1	CCND3	NCKAP5	SPATS2L	CD96
TEX2	FAM198B	SLC25A6	ATP5E	CDK19	MAP4K3	LYN	YBX3	VIM	CYP2E1	PHF11	CD5L
SH3RF3	RIN2	LST1	FCER1G	ATG7	PHLPP1	SDC2	ANXA2	MRPS6	PSMB9	CD69	NXPH3
PTPRM	C10orf54	RPL21	CIRBP	KMT2C	FBXO34	TEX14	FOXO1	CLU	ANK3	LRRC55	VOPP1
PTPRS	PID1	RPL23A	BST2	ZNF609	TFDP2	TNFAIP3	CAST	GYPC	APOL3	IRF9	PZP
MAPKAPK2	PADI4	RPL7	UGCG	LPP	AIM1	NFKBIZ	GAS2L1	PLBD2	FAM129A	MYOF	AXIN2
RNF130	S100A4	EIF4A1	FAU	TNRC18	RILPL2	INSIG1	RBM47	C20orf27	FAM135A	UTRN	FOXD4
TRAPPC9	KCNE1	PFDN5	SSR3	PIAS1	MOB3B	B3GNT5	GPCPD1	FBXW7	LINC00299	TAP1	TNFRSF9
FLNB	MXD1	RPL9	RPL11	SLC39A11	WDR47	MRC1	CLIP4	LGMN	LSM6	ISG20	EOMES
TBC1D8	LINC00937	RPS8	RPS20	SPIDR	MTHFD1L	MS4A7	KIF13A	F7	SLAMF7	IRF1	INPP4B
IQGAP2	CEBPD	RPL27	GUK1	CPQ	PLK2	ASTL	RPGR	FOXC2	PARM1	LGALS9	ESRP2
PAN3	PTPN12	RPS11	SUB1	NAIP	GPRIN3	AIF1	GLIPR2	HIP1	FMNL2	RNF144A	CCDC141
PALD1	LYST	RPL13A	ZNF706	SNX30	GAB2	SNX8	RRP12	SLC4A3	MRC2	ZCCHC2	TTC29
