	1	2	3	4	5	6	7	8	9	10	11	12
AARSD1	4.833422479894087e-06	-0.0001236858807646	3.398238497246558e-05	0.000362317319962	6.979550641255885e-05	-0.0002108327955337	-5.609823051162421e-05	-0.0002433039438539	0.0002123159633929	7.501569431863599e-05	-0.0002305414688414	0.000477574027762
AASDH	9.78408639602378e-05	-1.9541153802869263e-05	-0.0002824490854829	0.0002479839743572	0.0003527384189515	-0.0002484844477054	-0.0003474735048918	-8.887793001592944e-05	0.0001100007752814	6.377989223024368e-05	-0.000207376375997	-0.0001863419566925
AASDHPPT	-0.0002267684989166	-9.752751000245391e-05	0.0001679959823156	0.0007530428569295	0.0001375463360395	-0.0005198297228166	-0.0001143735581192	-9.165819450520216e-05	3.851782893930624e-05	0.0001276337414879	-0.0004413392831329	0.0007097787449169
AASS	0.0002377923654451	-0.0001381531689061	-0.0002580058482151	0.0001912349540696	8.162548081247114e-05	7.73353575819002e-05	-0.0001247189034138	-5.8643790043105664e-05	-0.0002616752295021	-0.0001093609422462	-0.0003149746443747	0.0002679418357015
AATF	0.0007122123730053	-0.0002441141011631	-0.0014047791569779	-0.0005658778884426	0.0006395006309829	0.0005887482160299	9.887203874308847e-05	-0.0001159146947375	0.0001180702187645	-0.0001099572508532	-0.0001277993897708	0.0004687207162059
AATK	-0.0001384484361089	-0.0002695003685868	-0.0001128935517565	-0.0002982376071147	-0.0004069365620912	0.0014655201699715	0.0001528942144446	0.0003039073086699	-7.589957524451871e-05	-0.0001541804248128	-0.0003597745389137	-0.0001425065933223
AATK-AS1	0.0001991268198	-0.0002204099576619	-0.0001707917408394	-0.0004219735844809	0.0001700130272142	0.0002477701670247	0.0001138878549879	0.0001083175545257	0.0003808298056363	-8.662089443325964e-05	-0.0002759025814077	-8.324706481275945e-05
ABAT	0.0002252078706159	0.00026250014498	-0.0008508623408004	-0.0008085255124998	0.0005417025319736	0.0004399521302258	7.300042451215436e-05	-0.0002528568963586	-0.0001899316889517	0.0001246589399862	-9.27396157817816e-05	0.0001466515407347
ABCA1	-8.232364125215945e-05	0.0010306725068391	-0.0013059995841186	-0.0006582049332948	-0.0005237300806471	0.0011274383071207	0.0014048006843191	-0.0010160352081704	-0.000230028123307	-3.346488128650335e-06	0.000901421571539	-5.41501609009219e-05
ABCA10	0.0007501658284047	-0.0002442806001917	-0.0004792292504762	-0.0002385628127251	5.4776885533248365e-05	1.4352911004604611e-05	-9.00937907212861e-05	-0.0001811671230589	-3.06501458275048e-05	6.939879784363689e-05	0.000166042690333	-0.0001722267098644
ABCA12	0.0003547350045084	-9.133629234480138e-05	-0.0001858973066992	-0.0003091092085324	2.6769937353044105e-05	0.0001203462853887	-9.81216689487808e-05	-4.698802720303567e-05	-9.605892945100843e-05	-7.381357822472821e-05	0.0001050530546051	5.702451236637761e-05
ABCA13	0.0001292010665874	-3.258587532749786e-05	-0.0001530716689717	-0.0001646502962388	0.0001513407997012	-0.0001913228576782	9.105726660829796e-05	6.85314147950504e-05	0.0002352620446084	-5.440689459806224e-05	4.936548183539918e-05	-0.0001010720062858
ABCA2	0.0001602777639549	-0.0002410912955067	-0.000467364630166	0.0006229073646784	-2.1847352952581383e-05	3.3407975107920354e-05	-0.000152566012709	-0.0001734820596145	0.0001154599014573	-1.7608408822363544e-06	0.0003845820524162	-0.0001993959537224
