1	2	3	4	5	6	7	8	9	10	11	12	13	14
TAPT1	SNED1	MEF2C	STT3B	KLF12	CD58	RPL37A	CROCC	SLCO4C1	BMP8B	NDFIP2	CARD17	NELL2	ITGB5
P2RY14	TENM4	ZNF827	VPREB3	NIN	NCOA3	RPL29	LINC00854	EPB41L4A	ELL2	TNFRSF17	CEP128	PROK2	HBG1
MARCH1	COTL1	TNFAIP8	SOX5	PHTF2	FUT8	PSME2	GNG2	PRKX	UBE2J1	NCOA3	INPP4A	CPVL	GFAP
COBLL1	IL7	PLEKHG1	RPS24	PITPNC1	ARPC1B	RPS3A	PTMA	CDK14	VSIG8	IGKC	DENND1B	TRBC1	SNCA
ABCB4	MAP3K1	ARHGAP17	RPS11	SPAG16	TKT	RPS4X	PIM3	S100A11	LRRC15	TMEM198	LINC00910	AK5	ASAP2
STAG3	PVT1	CERS6	VPREB1	ATP2B4	TGM2	MIF	AREG	HCK	TMEM136	HDLBP	KCNMA1	STAT4	RGS10
SNX29	CDC42SE2	KAT6B	ADAM9	SSBP3	MAP3K1	RPS23	OR11H2	PSAP	PDIA6	UBE2J1	LINC01484	CD226	GMPR
YBX3	SETBP1	PRKCE	SYK	GCLC	RAB31	RPS13	SRSF7	MCTP1	SUB1	SEC24A	SEC24D	LEF1	HIST1H2AC
SYT17	MCOLN2	PLPP5	ADARB2	HOMER3	CAPN2	RPL6	DNAJA1	UBASH3B	SLC3A2	RBM47	VIM	BCL11B	ABLIM3
SESN1	ST14	LRCH1	FAM129C	GSTK1	ARHGAP6	SERF2	PABPC1	PTK2	MANEA	SLCO3A1	SLC9A3R1	CX3CR1	LAT
ST6GAL1	KIF13A	IKZF1	FSTL4	CRIP1	CAMK1D	RPL10	BTG1	IFNLR1	SELK	CLPTM1L	UPP1	PID1	LGALSL
LYST	XKR6	MARCH3	LIMS2	NRCAM	HIPK2	S100A6	ANKRD33B	IFI30	CD27	ELL2	IGKC	AAK1	CTSA
GCNT1	ANGPTL1	SNX25	KCNQ5	CLIP4	SIGLEC6	S100A10	TAGAP	DGKG	ISG20	CD27	MED13L	SRGN	MALL
EPB41L2	DOCK10	KLHL14	FMO3	TEC	FAM107B	RPS8	HES1	GGA2	LMNA	CLDN23	SEC61A1	WDFY3	MARCH2
BTG1	CD1C	JARID2	TUBB3	CDC14A	RASSF6	RPL19	RPL19	GFOD1	PYCR1	VIMP	SOS1	SLFN12L	LINC00989
L3MBTL4	GPHN	RERE	UCP2	IGHE	SAMD3	RPS27A	RAB11A	PHACTR2	CHAC1	SSR4	UBR5	APOL6	PYGL
PLPP5	CLMN	DNMBP	AAK1	LINC01320	CHAD	RPL7	DDX21	GEN1	SEC24D	OSTC	TOX2	GIMAP6	ENKUR
SELL	IL10RA	ANKRD33B	IQGAP2	NAP1L1	RASGRP1	MYL6	KLF2	CARD11	SDC1	IGLC1	NXPE3	TNFRSF1A	CABP5
CXCR4	STAMBPL1	NGLY1	JUP	CR1	ARID3A	YBX1	RPL28	SAMSN1	ITGB8	ESR1	LINC00462	FKBP5	TSC22D1
MLLT3	LINC00996	NFKB1	TSPAN13	CRIP2	MYO1D	PTMA	HSP90AB1	MALAT1	ALDH1L2	NT5DC2	LTK	TRAT1	LINC00346
TIMP3	RGS7	PRDM2	FRY	IL13RA1	IQGAP2	RPL32	SGK1	FGFR1	HM13	CREB3L2	FA2H	CST3	LINC00211
NT5E	CD27	LRMP	PLCL2	SERPINB6	RHBDL1	LDHA	CYCS	RNF144A	IGF1	GPRIN3	EDEM3	ATP8B4	MPP1
ARHGAP32	ATXN1	CSNK1G3	APBB2	RPS14	CD86	RPL35	RAB8B	CBLB	MB21D2	MIR519A2	SPATS2	ATP10A	VCL
ARHGAP22	ATP1A1	FAM126A	PON2	ETV7	HSH2D	CALR	UBALD2	PROK2	RAMP2	OSR2	MET	DGKH	C19orf33
TPK1	ZBTB20	EAF2	TNFRSF21	CAPN2	CPNE5	RPL13	RPL10	CD86	TOX2	TRAM2	ITGA8	KLRC2	CST3
SLC12A6	PLEKHG1	IL21R	H3F3B	STXBP6	CDCA7	SLC25A3	RPL7A	MYO9B	GMPPB	TVP23C	FNDC3A	C1orf21	RUFY1
FLI1	MNDA	PIK3CA	PMEPA1	FOXD4	ARPC2	RPL35A	DUSP5	PAG1	SEMA4A	SHOX2	ZC3HAV1L	SAMD3	TPM1
CD200	BCL2	MCTP2	FAM60A	SH3RF1	ERICH3	RPS28	TNFRSF10C	THEMIS2	KDELR1	AQP3	IGHA1	OSBPL5	GP5
SDK2	CKAP4	PTPN1	DAZL	ARHGAP31	GSN	FABP5	RPL41	LAPTM5	RRAD	HSPA5	EIF4E3	FAM105A	CD151
SEL1L3	AFDN	AKAP13	LINC01222	EEPD1	ITGA4	B2M	MAP3K8	CD84	KCNN3	DNAJC1	LINC00891	CD36	LINC00210
SSBP2	GAB2	RAB11A	RNF13	RIC8B	OSBPL10	COX6C	POTEI	PEBP4	LMAN2	CALR	ERC1	IGKC	MAP3K7CL
SNX2	AP1S3	BASP1	MACROD2	COL18A1	PRR11	RPL23A	RPS7	DTX1	TMEM258	FNDC3A	MANEA	SLC25A41	FYB
MED12L	RIC3	MACF1	MTMR1	KCNMA1	KCNN3	H3F3A	GRASP	PLCL1	CCPG1	SEC61A1	EML6	EREG	POTEC
STEAP1B	ITPR2	EPS15	TBC1D1	LINC01297	CDYL2	LINC00891	RPS3A	SLC25A29	TMED9	KCNN3	WARS	SMPDL3A	SH3BGRL3
VAV3	AKT3	DMXL1	PEG10	NOL4L	HOMER3	NAPSA	SDCBP	ASAP1	SERP1	ZNF215	GSPT1	APBA2	IGF2BP2
CCR7	CD24	CCND2	IKZF2	HHAT	CD99	ATP5E	RPL32	HLA-DPB1	CLPTM1L	MED13L	PIK3C2A	TNIK	CX3CR1
